Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Blood Simple,1984,7.6,"92,368","Crime, Drama, Thriller",99 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
SLC Punk!,1998,7.4,"28,196","Comedy, Drama, Music",97 ,Film,R,-,Mild,Moderate,Severe,Severe,Severe
The Straight Story,1999,8.0,"87,231","Biography, Drama",112 ,Film,G,-,None,None,Mild,Mild,Mild
Charlotte's Web,2006,6.3,"39,711","Adventure, Comedy, Family",97 ,Film,G,-,None,Mild,None,None,Mild
Can You Keep a Secret?,2019,5.3,"13,035","Comedy, Romance",94 ,Film,Not Rated,-,Mild,None,Mild,Mild,None
Courageous,2011,7.0,"20,155",Drama,130 ,Film,PG-13,-,None,Mild,None,Mild,Mild
How to Train Your Dragon 2,2014,7.8,"317,749","Animation, Action, Adventure",102 ,Film,PG,-,None,Mild,None,None,Moderate
The Glades,2014,7.5,"12,580","Action, Crime, Drama",60 ,Series,TV-14,49,Mild,No Rate,Mild,No Rate,Moderate
Valentine's Day,2010,5.7,"116,866","Comedy, Romance",125 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Sabrina,1995,6.3,"38,872","Comedy, Drama, Romance",127 ,Film,PG,-,None,None,Mild,Mild,None
Hardcore Henry,2015,6.7,"91,497","Action, Adventure, Sci-Fi",96 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
On the Road,2012,6.1,"40,906","Adventure, Drama, Romance",124 ,Film,R,-,Severe,Mild,Moderate,Severe,None
London Has Fallen,2016,5.9,"151,718","Action, Thriller",99 ,Film,R,-,None,Severe,Severe,None,Severe
Enter the Dragon,1973,7.7,"101,101","Action, Crime, Drama",102 ,Film,R,-,Moderate,Moderate,Mild,Moderate,Moderate
The Commuter,2018,6.3,"110,108","Action, Mystery, Thriller",104 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Wild Hogs,2007,5.8,"116,343","Action, Adventure, Comedy",100 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
Broken City,2013,6.2,"78,405","Action, Crime, Drama",109 ,Film,R,-,Moderate,Moderate,Severe,Mild,Mild
Bolt,2008,6.8,"199,257","Animation, Adventure, Comedy",96 ,Film,PG,-,None,Mild,None,None,Mild
Saw VI,2009,6.0,"107,411","Horror, Mystery, Thriller",90 ,Film,R,-,None,Severe,Severe,Mild,Severe
Lost Girls and Love Hotels,2020,4.6,"3,855",Drama,97 ,Film,R,-,Severe,None,Mild,Severe,None
The Jeffersons,2020,7.4,"8,507",Comedy,30 ,Series,TV-PG,253,None,Mild,Mild,Mild,Moderate
Manbiki kazoku,2018,7.9,"70,151","Crime, Drama",121 ,Film,R,-,Moderate,None,Mild,Mild,Mild
Peter Pan & Wendy,2022,No Rate,No Votes,"Action, Adventure, Comedy",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Repo! The Genetic Opera,2008,6.6,"24,447","Horror, Musical, Sci-Fi",98 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
Disturbing the Peace,2020,3.2,"2,391","Action, Thriller, Western",91 ,Film,R,-,None,Moderate,Mild,Mild,Mild
Superman II,1980,6.8,"103,368","Action, Adventure, Sci-Fi",127 ,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
RV,2006,5.5,"58,262","Adventure, Comedy, Family",99 ,Film,PG,-,Mild,Mild,Mild,Mild,None
Where Eagles Dare,1968,7.6,"55,743","Action, Adventure, War",158 ,Film,M,-,None,Moderate,Mild,Mild,Mild
Rocky V,1990,5.3,"132,097","Drama, Sport",104 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Homeward Bound: The Incredible Journey,1993,7.0,"44,445","Adventure, Comedy, Drama",84 ,Film,G,-,None,Mild,None,None,Mild
Clouds,2020,7.5,"8,286","Biography, Drama, Music",121 ,Film,PG-13,-,Mild,None,Mild,None,Moderate
Fanny och Alexander,1982,8.1,"61,028",Drama,188 ,Film,R,-,Moderate,Moderate,Mild,Moderate,Moderate
The Andromeda Strain,1971,7.2,"35,387","Mystery, Sci-Fi, Thriller",131 ,Film,G,-,Mild,Moderate,Mild,Mild,Moderate
The Postcard Killings,2020,5.8,"8,790","Crime, Drama, Thriller",104 ,Film,Not Rated,-,Mild,Moderate,Moderate,Mild,Moderate
Infinity Train,2020,8.5,"5,593","Animation, Action, Adventure",11 ,Series,TV-PG,40,None,Moderate,None,None,Moderate
My Bloody Valentine,1981,6.3,"20,201","Horror, Mystery, Thriller",90 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
The Mission,1986,7.4,"59,304","Adventure, Drama, History",125 ,Film,PG,-,Mild,Moderate,None,Mild,Moderate
Alice in Wonderland,1951,7.4,"134,656","Animation, Adventure, Comedy",75 ,Film,G,-,None,None,None,Mild,Mild
How I Live Now,2013,6.5,"29,527","Action, Adventure, Drama",101 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
Little Giants,1994,6.4,"27,565","Comedy, Family, Sport",107 ,Film,PG,-,None,Mild,Mild,None,None
DARLING in the FRANXX,2018,7.4,"7,346","Animation, Action, Drama",24 ,Series,TV-14,26,Moderate,Moderate,Mild,None,Moderate
Transplant,2018,7.9,"3,011",Drama,60 ,Series,TV-14,26,Mild,Moderate,Mild,Mild,Moderate
Life,2018,8.3,"33,396","Crime, Drama, Mystery",45 ,Series,TV-14,32,None,Moderate,No Rate,No Rate,No Rate
Rocky Balboa,2006,7.1,"210,004","Action, Drama, Sport",102 ,Film,PG,-,None,Moderate,Mild,Mild,Mild
The American,2010,6.3,"94,755","Action, Crime, Drama",105 ,Film,R,-,Moderate,Moderate,Mild,Mild,Mild
The Best of Me,2014,6.7,"69,314","Drama, Romance",118 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
The Escort,2015,6.0,"12,724","Comedy, Drama, Romance",88 ,Film,Not Rated,-,Mild,None,Moderate,Moderate,Mild
Cinderella,1950,7.3,"152,047","Animation, Family, Fantasy",74 ,Film,G,-,None,Mild,None,None,Mild
Teen Titans Go!,1950,5.4,"19,065","Animation, Action, Adventure",10 ,Series,TV-PG,335,Mild,Mild,Mild,None,Mild
Rambo III,1988,5.8,"126,781","Action, Adventure",102 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
Day of the Dead,1988,4.2,273,"Action, Drama, Horror",None,Series,TV-MA,10,No Rate,No Rate,No Rate,No Rate,No Rate
Cake,2014,6.4,"36,369",Drama,102 ,Film,R,-,Mild,Mild,Moderate,Severe,Moderate
Fatima,2020,6.6,"2,503","Drama, War",113 ,Film,PG-13,-,None,Mild,No Rate,Mild,Mild
Body Brokers,2021,6.2,"2,074","Crime, Drama, Thriller",111 ,Film,R,-,None,No Rate,No Rate,Mild,No Rate
Gladiator 2,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Paper Tigers,2020,6.4,"3,074","Action, Comedy",108 ,Film,PG-13,-,None,Mild,Mild,Mild,Moderate
When a Stranger Calls,1979,6.5,"11,232","Horror, Mystery, Thriller",97 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
Valhalla Rising,2009,6.1,"58,223","Action, Adventure, Drama",93 ,Film,Not Rated,-,Mild,Severe,Mild,Mild,Severe
Hope Floats,1998,6.1,"26,177","Drama, Romance",114 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Lark Rise to Candleford,1998,8.1,"7,094","Drama, Romance",53 ,Series,TV-PG,40,None,No Rate,None,Mild,Mild
An American Pickle,2020,5.7,"20,255",Comedy,88 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
Megan Is Missing,2011,4.5,"11,408","Drama, Horror, Thriller",89 ,Film,Not Rated,-,Severe,Severe,Severe,Severe,Severe
Alice,2011,6.8,"4,375",Comedy,30 ,Series,TV-PG,202,No Rate,No Rate,No Rate,No Rate,No Rate
Post Mortem,2020,6.0,558,"Horror, Mystery, Thriller",115 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Wasp Network,2019,5.9,"9,500","Crime, Drama, Thriller",127 ,Film,TV-MA,-,Moderate,Mild,Mild,Mild,Mild
The Legend of Bagger Vance,2000,6.7,"55,440","Drama, Fantasy, Sport",126 ,Film,PG-13,-,Mild,None,Mild,Mild,None
The Runaways,2010,6.5,"47,778","Biography, Drama, Music",106 ,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
The Taking of Pelham One Two Three,1974,7.7,"29,029","Action, Crime, Thriller",104 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
Maverick,1994,7.0,"107,164","Action, Adventure, Comedy",127 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Witness,1985,7.4,"90,773","Crime, Drama, Romance",112 ,Film,R,-,Mild,Moderate,Moderate,None,Mild
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,"147,601","Adventure, Family, Fantasy",113 ,Film,PG,-,None,Moderate,None,None,Moderate
Six Days Seven Nights,1998,5.8,"75,045","Action, Adventure, Comedy",102 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
The Best Exotic Marigold Hotel,2011,7.3,"92,825","Comedy, Drama, Romance",124 ,Film,PG-13,-,Mild,None,Moderate,Mild,None
Serebryanye konki,2020,7.1,"4,098","Adventure, Drama, Family",130 ,Film,TV-MA,-,Mild,Mild,None,Mild,None
The Zero Theorem,2013,6.1,"46,615","Comedy, Drama, Fantasy",107 ,Film,R,-,Moderate,Mild,Moderate,Mild,Moderate
Baki the Grappler,2013,7.6,"1,317","Animation, Action, Drama",24 ,Series,TV-PG,48,None,Severe,No Rate,Mild,Severe
The D'Amelio Show,2013,2.7,"1,022","Documentary, Reality-TV",30 ,Series,TV-14,8,Mild,Severe,No Rate,No Rate,No Rate
Cemetery Junction,2010,6.8,"20,971","Comedy, Drama",95 ,Film,R,-,Mild,Mild,Moderate,Mild,None
The Vast of Night,2019,6.7,"35,084","Drama, Mystery, Sci-Fi",91 ,Film,PG-13,-,None,None,Mild,Mild,Moderate
Lord of Illusions,1995,6.1,"17,044","Horror, Mystery, Thriller",109 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
Chloe,2009,6.3,"71,404","Drama, Mystery, Romance",96 ,Film,R,-,Severe,Mild,Mild,Mild,Mild
Mannequin,1937,6.5,"1,307",Drama,95 ,Film,Passed,-,No Rate,No Rate,No Rate,No Rate,No Rate
Treadstone,2019,7.0,"9,441",Action,44 ,Series,TV-MA,10,Mild,Moderate,Moderate,Mild,Moderate
Helluva Boss,2019,8.3,"2,096","Animation, Comedy, Crime",12 ,Series,TV-MA,10,Moderate,Severe,Severe,Mild,Moderate
Cosa voglio di più,2010,6.0,"2,746","Drama, Romance",126 ,Film,Unrated,-,Moderate,Mild,Mild,Mild,Moderate
Swan Song,2021,7.0,776,Drama,105 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Firestarter,1984,6.1,"30,992","Action, Horror, Sci-Fi",114 ,Film,R,-,None,Moderate,Mild,None,Moderate
Jack the Giant Slayer,2013,6.2,"134,951","Animation, Adventure, Fantasy",114 ,Film,PG-13,-,None,Mild,Mild,None,Moderate
The Last Full Measure,2019,6.8,"10,133","Drama, War",116 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
Of Mice and Men,1992,7.5,"42,378","Drama, Western",115 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
"I Love You, Man",2009,7.0,"199,219","Comedy, Romance",105 ,Film,R,-,Mild,None,Severe,Moderate,None
The Cider House Rules,1999,7.4,"96,055","Drama, Romance",126 ,Film,PG-13,-,Moderate,Moderate,Mild,Moderate,Moderate
Paranoia,2013,5.7,"36,163","Drama, Thriller",106 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
The Loved Ones,2009,6.6,"39,338","Crime, Drama, Horror",84 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
Unlocked,2017,6.3,"33,110","Action, Thriller",98 ,Film,R,-,None,Moderate,Moderate,None,Moderate
The Last King of Scotland,2006,7.7,"181,271","Biography, Drama, History",123 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
The Sweetest Thing,2002,5.2,"57,442","Comedy, Romance",84 ,Film,R,-,Moderate,Mild,Moderate,Mild,None
Beauty and the Beast,2002,7.0,"6,600","Crime, Fantasy, Drama",60 ,Series,TV-PG,55,No Rate,No Rate,No Rate,No Rate,No Rate
On the Rocks,2020,6.5,"28,026","Comedy, Drama, Romance",96 ,Film,R,-,None,None,Mild,Mild,None
Four Brothers,2005,6.8,"140,127","Action, Crime, Drama",109 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
The SpongeBob Movie: Sponge on the Run,2020,6.0,"15,469","Animation, Adventure, Comedy",91 ,Film,PG,-,None,Mild,None,None,None
Follow Me,2020,5.4,"9,461","Adventure, Horror, Mystery",91 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
Congo,1995,5.2,"44,541","Action, Adventure, Mystery",109 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
The Book Thief,2013,7.5,"131,149","Drama, War",131 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
A Single Man,2009,7.5,"109,529","Drama, Romance",99 ,Film,R,-,Mild,Mild,Mild,Mild,Mild
A Goofy Movie,1995,6.9,"49,791","Animation, Adventure, Comedy",78 ,Film,G,-,Mild,None,None,None,Mild
Dog,2022,No Rate,No Votes,"Animation, Comedy, Family",None,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Big Valley,2022,7.6,"2,776",Western,60 ,Series,TV-PG,112,No Rate,No Rate,No Rate,No Rate,No Rate
Bastille Day,2016,6.3,"41,383","Action, Crime, Drama",92 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Space: 1999,2016,7.3,"7,865","Adventure, Drama, Sci-Fi",50 ,Series,TV-14,48,None,Moderate,None,None,Moderate
Winchester,2018,5.5,"32,555","Biography, Drama, Horror",99 ,Film,PG-13,-,None,Mild,None,Mild,Moderate
Lovelace,2013,6.2,"39,845","Biography, Drama",93 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
Harriet,2019,6.6,"23,429","Action, Biography, Drama",125 ,Film,PG-13,-,None,Moderate,Moderate,None,Moderate
High Plains Drifter,1973,7.5,"52,666","Drama, Mystery, Western",105 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
Holy Water,2009,5.9,"2,090","Comedy, Crime",94 ,Film,R,-,Moderate,Mild,Mild,Mild,None
Jeepers Creepers 2,2003,5.6,"62,008",Horror,106 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Starry Eyes,2014,6.0,"19,589","Drama, Fantasy, Horror",98 ,Film,Not Rated,-,Moderate,Severe,Moderate,Mild,Severe
Sisters,2015,6.0,"65,058",Comedy,118 ,Film,R,-,Mild,None,Severe,Severe,None
Ripper Street,2015,8.1,"20,297","Crime, Drama, Mystery",59 ,Series,TV-MA,36,Moderate,Severe,Moderate,Mild,No Rate
The Blob,1958,6.4,"25,022","Horror, Sci-Fi",86 ,Film,Approved,-,None,Mild,None,Mild,Mild
Monsters of Man,2020,5.4,"5,389","Action, Sci-Fi, Thriller",131 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Crashing,2016,7.7,"17,071",Comedy,30 ,Series,TV-MA,6,No Rate,No Rate,No Rate,No Rate,No Rate
Water for Elephants,2011,6.9,"113,950","Drama, Romance",122 ,Film,PG-13,-,Mild,Moderate,Mild,Moderate,Moderate
Ghost Town,2008,6.7,"72,111","Comedy, Drama, Fantasy",102 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
3096 Tage,2013,6.5,"12,521","Biography, Crime, Drama",111 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Dark Web: Descent Into Hell,2021,2.8,164,Mystery,79 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Little Nicky,2000,5.3,"101,985","Comedy, Fantasy",90 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
To the Bone,2017,6.8,"44,892",Drama,107 ,Film,TV-MA,-,Mild,None,Moderate,Mild,Moderate
Hoo-goong: Je-wang-eui cheob,2012,6.1,"1,865","Drama, History, Romance",122 ,Film,Unrated,-,Severe,Moderate,Mild,Moderate,Moderate
So Weird,2012,8.5,"2,833","Adventure, Family, Mystery",30 ,Series,TV-Y7,65,Mild,Mild,None,Mild,Mild
What a Girl Wants,2003,5.8,"61,643","Comedy, Drama, Family",105 ,Film,PG,-,None,None,None,None,None
Identity Thief,2013,5.7,"129,275","Comedy, Crime, Drama",111 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
Alpha Dog,2006,6.9,"101,228","Biography, Crime, Drama",122 ,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate
Nine Days,2020,7.6,"1,327","Drama, Fantasy",124 ,Film,R,-,None,Mild,Moderate,Mild,Mild
Terms of Endearment,1983,7.4,"57,914","Comedy, Drama",132 ,Film,PG,-,Mild,Mild,Moderate,Moderate,Mild
King of New York,1990,7.0,"35,391","Crime, Thriller",103 ,Film,R,-,Moderate,Severe,Severe,Severe,Moderate
Bungou Stray Dogs,1990,7.8,"4,237","Animation, Action, Comedy",24 ,Series,TV-14,37,Mild,Moderate,Mild,Mild,Moderate
Bungou Stray Dogs,1990,7.8,"4,237","Animation, Action, Comedy",24 ,Series,TV-14,37,Mild,Moderate,Mild,Mild,Moderate
Red Joan,2018,6.4,"11,325","Biography, Drama, History",101 ,Film,R,-,Mild,None,Mild,Mild,No Rate
Nightmare Alley,1947,7.8,"8,266","Drama, Film-Noir",110 ,Film,Passed,-,None,Mild,Mild,Moderate,Moderate
Kaze no tani no Naushika,1984,8.1,"160,558","Animation, Adventure, Fantasy",117 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Sing Street,2016,7.9,"89,570","Comedy, Drama, Music",106 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,None
Conan the Destroyer,1984,5.9,"78,308","Action, Adventure, Fantasy",103 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
Jackie,2016,6.7,"76,168","Biography, Drama",100 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
I Origins,2014,7.4,"120,534","Drama, Mystery, Romance",106 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Drive Me Crazy,1999,5.8,"19,062","Comedy, Drama, Romance",91 ,Film,PG-13,-,Mild,None,Mild,Mild,No Rate
From Here to Eternity,1953,7.6,"45,362","Drama, Romance, War",118 ,Film,Passed,-,Mild,Mild,None,Mild,Mild
True Story,2015,6.3,"66,337","Biography, Crime, Drama",99 ,Film,R,-,Mild,Moderate,Mild,None,Moderate
The Last Bus,2021,6.7,348,Drama,86 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Behind Enemy Lines,2001,6.4,"102,212","Action, Drama, Thriller",106 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Ordinary People,1980,7.7,"49,662",Drama,124 ,Film,R,-,None,Mild,Moderate,Mild,Moderate
The AristoCats,1970,7.1,"98,673","Animation, Adventure, Comedy",78 ,Film,G,-,None,Mild,None,Mild,None
The Muppets,2011,7.1,"90,052","Adventure, Comedy, Family",120 ,Film,PG,-,None,Mild,None,None,None
Profondo rosso,1975,7.6,"35,618","Horror, Mystery, Thriller",127 ,Film,R,-,Mild,Severe,Mild,Moderate,Severe
Emma,1996,6.7,"37,630","Comedy, Drama, Romance",120 ,Film,PG,-,None,None,None,Mild,None
The Black Dahlia,2006,5.6,"72,931","Crime, Drama, Mystery",121 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
Hold the Dark,2018,5.6,"35,380","Action, Drama, Thriller",125 ,Film,TV-MA,-,Moderate,Severe,Moderate,Mild,Moderate
Pee-wee's Big Adventure,1985,7.0,"51,503","Adventure, Comedy, Family",91 ,Film,PG,-,None,Mild,Mild,Mild,Mild
The American President,1995,6.8,"55,343","Comedy, Drama, Romance",114 ,Film,PG-13,-,Mild,None,Moderate,Mild,None
The Secret Garden,1993,7.3,"39,971","Drama, Family, Fantasy",101 ,Film,G,-,None,None,None,None,Mild
A Journal for Jordan,2021,No Rate,No Votes,Drama,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Girls5eva,2021,7.1,"2,097","Comedy, Music",30 ,Series,TV-MA,9,Mild,None,Moderate,Mild,None
The Last Thing He Wanted,2020,4.3,"14,067","Crime, Drama, Thriller",115 ,Film,R,-,Mild,Moderate,Moderate,Mild,Mild
Forhøret,2020,6.9,"1,569","Crime, Drama, Mystery",30 ,Series,TV-MA,16,Mild,Moderate,Moderate,Mild,Moderate
Cyborg,1989,5.1,"30,513","Action, Sci-Fi, Thriller",86 ,Film,R,-,Mild,Severe,Mild,None,Severe
Shirley,2020,6.1,"10,409","Biography, Drama, Mystery",107 ,Film,R,-,Moderate,Mild,Mild,Mild,Moderate
Primer,2004,6.9,"102,926","Drama, Sci-Fi, Thriller",77 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
Poison Ivy,1992,5.4,"17,960","Drama, Thriller",93 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Moderate
Boys from County Hell,2020,5.9,"2,770","Comedy, Horror",88 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Blue Jasmine,2013,7.3,"197,326","Comedy, Drama",98 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Moderate
Something Wicked This Way Comes,1983,6.8,"8,915","Fantasy, Mystery, Thriller",95 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
Julie & Julia,2009,7.0,"113,843","Biography, Drama, Romance",123 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Mil gritos tiene la noche,1982,6.1,"9,902","Horror, Mystery, Thriller",85 ,Film,Not Rated,-,Severe,Severe,Moderate,Mild,Severe
Johnny English Reborn,2011,6.3,"125,443","Action, Adventure, Comedy",101 ,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
Bright Star,2009,6.9,"25,997","Biography, Drama, Romance",119 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
Blow Out,1981,7.4,"49,082","Crime, Drama, Mystery",108 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
Spaced,1981,8.5,"52,553","Action, Comedy",25 ,Series,TV-14,14,Mild,Mild,Moderate,Moderate,Mild
Morgan,2016,5.8,"41,457","Action, Horror, Sci-Fi",92 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
On the Waterfront,1954,8.1,"148,903","Crime, Drama, Thriller",108 ,Film,Approved,-,None,Moderate,None,Mild,Moderate
Æon Flux,2005,5.5,"126,357","Action, Adventure, Sci-Fi",93 ,Film,PG-13,-,Mild,Mild,None,None,Mild
Soulmates,2005,6.1,"2,607","Drama, Romance, Sci-Fi",269 ,Series,TV-14,8,No Rate,No Rate,No Rate,No Rate,No Rate
Private School,1983,5.3,"6,261","Comedy, Romance",89 ,Film,R,-,Severe,None,Mild,Mild,None
Bubble Boy,2001,5.6,"32,535","Adventure, Comedy, Romance",84 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
Comedians in Cars Getting Coffee,2001,8.1,"11,707","Animation, Comedy, Family",20 ,Series,TV-14,85,None,None,Mild,None,None
Togo,2019,8.0,"43,427","Adventure, Biography, Drama",113 ,Film,PG,-,None,None,None,None,Mild
Jamón Jamón,1992,6.4,"12,979","Comedy, Drama, Romance",95 ,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
The Hummingbird Project,2018,6.2,"13,416","Drama, Thriller",111 ,Film,R,-,None,None,Moderate,Mild,Mild
Spy Game,2001,7.1,"152,287","Action, Crime, Thriller",126 ,Film,R,-,None,Mild,Moderate,None,Mild
P-Valley,2001,7.1,"2,893","Crime, Drama",60 ,Series,TV-MA,18,Severe,Mild,Moderate,Moderate,Mild
The Commuter,2018,6.3,"110,108","Action, Mystery, Thriller",104 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Backdraft,1991,6.7,"76,341","Action, Crime, Drama",137 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
The 15:17 to Paris,2018,5.3,"31,275","Biography, Drama, Thriller",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
A Wrinkle in Time,2018,4.2,"43,249","Adventure, Family, Fantasy",109 ,Film,PG,-,None,Mild,None,None,Mild
The Cider House Rules,1999,7.4,"96,055","Drama, Romance",126 ,Film,PG-13,-,Moderate,Moderate,Mild,Moderate,Moderate
Rutherford Falls,1999,6.5,"1,513",Comedy,30 ,Series,TV-14,11,No Rate,No Rate,No Rate,No Rate,No Rate
Up Periscope,1959,6.5,"1,802","Action, Drama, Romance",112 ,Film,Approved,-,None,None,None,Mild,None
The Last Vermeer,2019,6.7,"2,449",Drama,118 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
Warrior Queen,1987,3.3,780,Drama,79 ,Film,R,-,Moderate,Moderate,None,Mild,Mild
WarGames,1983,7.1,"95,161","Action, Adventure, Drama",114 ,Film,PG,-,None,None,Mild,Mild,Mild
"Endings, Beginnings",2019,5.7,"5,042",Drama,110 ,Film,Unrated,-,Moderate,None,Moderate,Moderate,None
Chopper,2000,7.2,"37,345","Biography, Crime, Drama",94 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
Jeepers Creepers 2,2003,5.6,"62,008",Horror,106 ,Film,R,-,None,Severe,Severe,Mild,Moderate
Anger Management,2003,6.2,"209,252",Comedy,106 ,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None
Strange Bargain,1949,6.8,433,"Crime, Drama, Film-Noir",68 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Max Payne,2008,5.3,"124,325","Action, Crime, Drama",100 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Mild
Friday Night Dinner,2008,8.1,"16,488",Comedy,24 ,Series,TV-14,37,Mild,None,Moderate,Mild,None
John Q,2002,7.1,"128,820","Crime, Drama, Thriller",116 ,Film,PG-13,-,None,Mild,Moderate,Mild,Moderate
Trilogy of Terror,1975,6.6,"6,889","Horror, Thriller",72 ,Film,Unrated,-,Mild,Moderate,Mild,Moderate,Severe
Knight of Cups,2015,5.7,"26,257","Drama, Romance",118 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
After Earth,2013,4.8,"196,545","Action, Adventure, Sci-Fi",100 ,Film,PG-13,-,None,Moderate,None,None,Moderate
The Badlanders,1958,6.5,"1,386","Romance, Western",85 ,Film,Approved,-,None,Mild,None,Mild,Mild
The Last O.G.,1958,6.9,"3,163",Comedy,30 ,Series,TV-MA,40,No Rate,No Rate,No Rate,No Rate,No Rate
Mimic,1997,6.0,"48,439","Horror, Sci-Fi",105 ,Film,R,-,None,Moderate,Moderate,Mild,Moderate
The Grinch,2018,6.3,"59,990","Animation, Adventure, Comedy",85 ,Film,PG,-,None,None,None,None,None
Far from the Madding Crowd,2015,7.1,"47,569","Drama, Romance",119 ,Film,PG-13,-,Mild,Mild,None,Mild,Mild
The AristoCats,1970,7.1,"98,673","Animation, Adventure, Comedy",78 ,Film,G,-,None,Mild,None,Mild,None
Dark Star,1974,6.3,"23,551","Comedy, Sci-Fi",83 ,Film,G,-,None,Mild,Mild,Mild,Mild
The Laundromat,2019,6.3,"47,733","Comedy, Crime, Drama",96 ,Film,R,-,Moderate,Mild,Mild,Mild,Mild
Cinderella,1950,7.3,"152,047","Animation, Family, Fantasy",74 ,Film,G,-,None,Mild,None,None,Mild
Burden of Truth,1950,7.3,"3,726",Drama,44 ,Series,TV-PG,34,Mild,No Rate,No Rate,No Rate,No Rate
